dataset,artist,track,chord_filepath,mp3_filepath,mp3_length,chord_length,diff_length
isophonics/The Beatles,The Beatles,Magical Mystery Tour,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/09_-_Magical_Mystery_Tour/01_-_Magical_Mystery_Tour.lab,Data/mp3s/Magical Mystery Tour - The Beatles.mp3,171.0,171,0.0
isophonics/The Beatles,The Beatles, Helter Skelter,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_06_-_Helter_Skelter.lab,Data/mp3s/ Helter Skelter - The Beatles.mp3,270.0,269,1.0
isophonics/The Beatles,The Beatles, Revolution 1,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_08_-_Revolution_1.lab,Data/mp3s/ Revolution 1 - The Beatles.mp3,256.0,255,1.0
isophonics/The Beatles,The Beatles, Birthday,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_01_-_Birthday.lab,Data/mp3s/ Birthday - The Beatles.mp3,167.0,162,5.0
isophonics/The Beatles,The Beatles, Sexy Sadie,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_05_-_Sexy_Sadie.lab,Data/mp3s/ Sexy Sadie - The Beatles.mp3,196.0,195,1.0
isophonics/The Beatles,The Beatles, Mother Nature's Son,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_03_-_Mother_Nature's_Son.lab,Data/mp3s/ Mother Nature's Son - The Beatles.mp3,168.0,168,0.0
isophonics/The Beatles,The Beatles, Revolution 9,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_12_-_Revolution_9.lab,Data/mp3s/ Revolution 9 - The Beatles.mp3,503.0,502,1.0
isophonics/The Beatles,The Beatles, Everybody's Got Something To Hide Except Me and My Monkey,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_04_-_Everybody's_Got_Something_To_Hide_Except_Me_and_My_Monkey.lab,Data/mp3s/ Everybody's Got Something To Hide Except Me and My Monkey - The Beatles.mp3,145.0,144,1.0
isophonics/The Beatles,The Beatles, Yer Blues,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_02_-_Yer_Blues.lab,Data/mp3s/ Yer Blues - The Beatles.mp3,241.0,241,0.0
isophonics/The Beatles,The Beatles, Honey Pie,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_09_-_Honey_Pie.lab,Data/mp3s/ Honey Pie - The Beatles.mp3,162.0,161,1.0
isophonics/The Beatles,The Beatles, Cry Baby Cry,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_11_-_Cry_Baby_Cry.lab,Data/mp3s/ Cry Baby Cry - The Beatles.mp3,183.0,181,2.0
isophonics/The Beatles,The Beatles, Long Long Long,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_07_-_Long_Long_Long.lab,Data/mp3s/ Long Long Long - The Beatles.mp3,187.0,184,3.0
isophonics/The Beatles,The Beatles, Good Night,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_13_-_Good_Night.lab,Data/mp3s/ Good Night - The Beatles.mp3,194.0,191,3.0
isophonics/The Beatles,The Beatles, Savoy Truffle,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/10CD2_-_The_Beatles/CD2_-_10_-_Savoy_Truffle.lab,Data/mp3s/ Savoy Truffle - The Beatles.mp3,177.0,174,3.0
isophonics/The Beatles,The Beatles,Getting Better,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/04_-_Getting_Better.lab,Data/mp3s/Getting Better - The Beatles.mp3,168.0,167,1.0
isophonics/The Beatles,The Beatles,Within You Without You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/08_-_Within_You_Without_You.lab,Data/mp3s/Within You Without You - The Beatles.mp3,308.0,305,3.0
isophonics/The Beatles,The Beatles,Being For The Benefit Of Mr. Kite!,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/07_-_Being_For_The_Benefit_Of_Mr._Kite!.lab,Data/mp3s/Being For The Benefit Of Mr. Kite! - The Beatles.mp3,162.0,157,5.0
isophonics/The Beatles,The Beatles,With A Little Help From My Friends,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/02_-_With_A_Little_Help_From_My_Friends.lab,Data/mp3s/With A Little Help From My Friends - The Beatles.mp3,166.0,164,2.0
isophonics/The Beatles,The Beatles,Good Morning Good Morning,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/11_-_Good_Morning_Good_Morning.lab,Data/mp3s/Good Morning Good Morning - The Beatles.mp3,155.0,161,-6.0
isophonics/The Beatles,The Beatles,When I'm Sixty-Four,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/09_-_When_I'm_Sixty-Four.lab,Data/mp3s/When I'm Sixty-Four - The Beatles.mp3,160.0,157,3.0
isophonics/The Beatles,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Reprise),Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/12_-_Sgt._Pepper's_Lonely_Hearts_Club_Band_(Reprise).lab,Data/mp3s/Sgt. Pepper's Lonely Hearts Club Band (Reprise) - The Beatles.mp3,83.0,78,5.0
isophonics/The Beatles,The Beatles,She's Leaving Home,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/06_-_She's_Leaving_Home.lab,Data/mp3s/She's Leaving Home - The Beatles.mp3,206.0,215,-9.0
isophonics/The Beatles,The Beatles,Fixing A Hole,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/05_-_Fixing_A_Hole.lab,Data/mp3s/Fixing A Hole - The Beatles.mp3,159.0,156,3.0
isophonics/The Beatles,The Beatles,Lovely Rita,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/10_-_Lovely_Rita.lab,Data/mp3s/Lovely Rita - The Beatles.mp3,166.0,162,4.0
isophonics/The Beatles,The Beatles,Lucy In The Sky With Diamonds,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/03_-_Lucy_In_The_Sky_With_Diamonds.lab,Data/mp3s/Lucy In The Sky With Diamonds - The Beatles.mp3,216.0,208,8.0
isophonics/The Beatles,The Beatles,A Day In The Life,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/13_-_A_Day_In_The_Life.lab,Data/mp3s/A Day In The Life - The Beatles.mp3,324.0,333,-9.0
isophonics/The Beatles,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/01_-_Sgt._Pepper's_Lonely_Hearts_Club_Band.lab,Data/mp3s/Sgt. Pepper's Lonely Hearts Club Band - The Beatles.mp3,123.0,122,1.0
isophonics/The Beatles,The Beatles,You Can't Do That,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/12_-_You_Can't_Do_That.lab,Data/mp3s/You Can't Do That - The Beatles.mp3,163.0,157,6.0
isophonics/The Beatles,The Beatles,I Should Have Known Better,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better.lab,Data/mp3s/I Should Have Known Better - The Beatles.mp3,166.0,164,2.0
isophonics/The Beatles,The Beatles,I'll Be Back,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/13_-_I'll_Be_Back.lab,Data/mp3s/I'll Be Back - The Beatles.mp3,141.0,140,1.0
isophonics/The Beatles,The Beatles,I'll Cry Instead,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/09_-_I'll_Cry_Instead.lab,Data/mp3s/I'll Cry Instead - The Beatles.mp3,108.0,107,1.0
isophonics/The Beatles,The Beatles,Can't Buy Me Love,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love.lab,Data/mp3s/Can't Buy Me Love - The Beatles.mp3,132.0,134,-2.0
isophonics/The Beatles,The Beatles,When I Get Home,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/11_-_When_I_Get_Home.lab,Data/mp3s/When I Get Home - The Beatles.mp3,139.0,138,1.0
isophonics/The Beatles,The Beatles,Things We Said Today,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/10_-_Things_We_Said_Today.lab,Data/mp3s/Things We Said Today - The Beatles.mp3,153.0,158,-5.0
isophonics/The Beatles,The Beatles,I'm Happy Just To Dance With You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You.lab,Data/mp3s/I'm Happy Just To Dance With You - The Beatles.mp3,117.0,118,-1.0
isophonics/The Beatles,The Beatles,And I Love Her,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her.lab,Data/mp3s/And I Love Her - The Beatles.mp3,153.0,151,2.0
isophonics/The Beatles,The Beatles,Any Time At All,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/08_-_Any_Time_At_All.lab,Data/mp3s/Any Time At All - The Beatles.mp3,132.0,133,-1.0
isophonics/The Beatles,The Beatles,If I Fell,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell.lab,Data/mp3s/If I Fell - The Beatles.mp3,144.0,142,2.0
isophonics/The Beatles,The Beatles,Tell Me Why,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why.lab,Data/mp3s/Tell Me Why - The Beatles.mp3,129.0,130,-1.0
isophonics/The Beatles,The Beatles,A Hard Day's Night,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night.lab,Data/mp3s/A Hard Day's Night - The Beatles.mp3,153.0,152,1.0
isophonics/The Beatles,The Beatles,Yellow Submarine,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/06_-_Yellow_Submarine.lab,Data/mp3s/Yellow Submarine - The Beatles.mp3,160.0,160,0.0
isophonics/The Beatles,The Beatles,Love You To,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/04_-_Love_You_To.lab,Data/mp3s/Love You To - The Beatles.mp3,174.0,181,-7.0
isophonics/The Beatles,The Beatles,I Want To Tell You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/12_-_I_Want_To_Tell_You.lab,Data/mp3s/I Want To Tell You - The Beatles.mp3,145.0,149,-4.0
isophonics/The Beatles,The Beatles,Doctor Robert,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/11_-_Doctor_Robert.lab,Data/mp3s/Doctor Robert - The Beatles.mp3,138.0,135,3.0
isophonics/The Beatles,The Beatles,She Said She Said,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/07_-_She_Said_She_Said.lab,Data/mp3s/She Said She Said - The Beatles.mp3,152.0,157,-5.0
isophonics/The Beatles,The Beatles,Got To Get You Into My Life,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/13_-_Got_To_Get_You_Into_My_Life.lab,Data/mp3s/Got To Get You Into My Life - The Beatles.mp3,144.0,150,-6.0
isophonics/The Beatles,The Beatles,I'm Only Sleeping,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/03_-_I'm_Only_Sleeping.lab,Data/mp3s/I'm Only Sleeping - The Beatles.mp3,183.0,181,2.0
isophonics/The Beatles,The Beatles,Eleanor Rigby,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/02_-_Eleanor_Rigby.lab,Data/mp3s/Eleanor Rigby - The Beatles.mp3,126.0,127,-1.0
isophonics/The Beatles,The Beatles,Taxman,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/01_-_Taxman.lab,Data/mp3s/Taxman - The Beatles.mp3,158.0,159,-1.0
isophonics/The Beatles,The Beatles,"Here, There And Everywhere","Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/05_-_Here,_There_And_Everywhere.lab","Data/mp3s/Here, There And Everywhere - The Beatles.mp3",146.0,145,1.0
isophonics/The Beatles,The Beatles,Tomorrow Never Knows,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/14_-_Tomorrow_Never_Knows.lab,Data/mp3s/Tomorrow Never Knows - The Beatles.mp3,176.0,177,-1.0
isophonics/The Beatles,The Beatles,Good Day Sunshine,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/08_-_Good_Day_Sunshine.lab,Data/mp3s/Good Day Sunshine - The Beatles.mp3,126.0,129,-3.0
isophonics/The Beatles,The Beatles,And Your Bird Can Sing,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/09_-_And_Your_Bird_Can_Sing.lab,Data/mp3s/And Your Bird Can Sing - The Beatles.mp3,121.0,121,0.0
isophonics/The Beatles,The Beatles,For No One,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/07_-_Revolver/10_-_For_No_One.lab,Data/mp3s/For No One - The Beatles.mp3,121.0,121,0.0
isophonics/The Beatles,The Beatles,P. S. I Love You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You.lab,Data/mp3s/P. S. I Love You - The Beatles.mp3,133.0,125,8.0
isophonics/The Beatles,The Beatles,Love Me Do,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do.lab,Data/mp3s/Love Me Do - The Beatles.mp3,141.0,142,-1.0
isophonics/The Beatles,The Beatles,Do You Want To Know A Secret,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret.lab,Data/mp3s/Do You Want To Know A Secret - The Beatles.mp3,118.0,119,-1.0
isophonics/The Beatles,The Beatles,Ask Me Why,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why.lab,Data/mp3s/Ask Me Why - The Beatles.mp3,143.0,147,-4.0
isophonics/The Beatles,The Beatles,I Saw Her Standing There,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There.lab,Data/mp3s/I Saw Her Standing There - The Beatles.mp3,168.0,175,-7.0
isophonics/The Beatles,The Beatles,Chains,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/04_-_Chains.lab,Data/mp3s/Chains - The Beatles.mp3,142.0,146,-4.0
isophonics/The Beatles,The Beatles,Misery,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/02_-_Misery.lab,Data/mp3s/Misery - The Beatles.mp3,110.0,110,0.0
isophonics/The Beatles,The Beatles,Anna (Go To Him),Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him).lab,Data/mp3s/Anna (Go To Him) - The Beatles.mp3,174.0,177,-3.0
isophonics/The Beatles,The Beatles,A Taste Of Honey,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey.lab,Data/mp3s/A Taste Of Honey - The Beatles.mp3,119.0,125,-6.0
isophonics/The Beatles,The Beatles,There's A Place,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/13_-_There's_A_Place.lab,Data/mp3s/There's A Place - The Beatles.mp3,110.0,112,-2.0
isophonics/The Beatles,The Beatles,Please Please Me,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me.lab,Data/mp3s/Please Please Me - The Beatles.mp3,121.0,123,-2.0
isophonics/The Beatles,The Beatles,Boys,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/05_-_Boys.lab,Data/mp3s/Boys - The Beatles.mp3,147.0,147,0.0
isophonics/The Beatles,The Beatles,Twist And Shout,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout.lab,Data/mp3s/Twist And Shout - The Beatles.mp3,156.0,153,3.0
isophonics/The Beatles,The Beatles,Baby It's You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You.lab,Data/mp3s/Baby It's You - The Beatles.mp3,157.0,158,-1.0
isophonics/Queen,Queen,ven Seas Of Rhye,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/15 Seven Seas Of Rhye.lab,Data/mp3s/ven Seas Of Rhye - Queen.mp3,170.0,170,0.0
isophonics/Queen,Queen,hemian Rhapsody,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/01 Bohemian Rhapsody.lab,Data/mp3s/hemian Rhapsody - Queen.mp3,355.0,358,-3.0
isophonics/Queen,Queen, Will Rock You,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/16 We Will Rock You.lab,Data/mp3s/ Will Rock You - Queen.mp3,122.0,122,0.0
isophonics/Queen,Queen,t Bottomed Girls,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/04 Fat Bottomed Girls.lab,Data/mp3s/t Bottomed Girls - Queen.mp3,204.0,204,0.0
isophonics/Queen,Queen,other One Bites The Dust,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/02 Another One Bites The Dust.lab,Data/mp3s/other One Bites The Dust - Queen.mp3,218.0,216,2.0
isophonics/Queen,Queen,ve Me,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/08 Save Me.lab,,,228,
isophonics/Queen,Queen,azy Little Thing Called Love,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/09 Crazy Little Thing Called Love.lab,,,163,
isophonics/Queen,Queen,ay The Game,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/13 Play The Game.lab,Data/mp3s/ay The Game - Queen.mp3,215.0,213,2.0
isophonics/Queen,Queen, Are The Champions,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/17 We Are The Champions.lab,Data/mp3s/ Are The Champions - Queen.mp3,182.0,181,1.0
isophonics/Queen,Queen,u're My Best Friend,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/06 You're My Best Friend.lab,Data/mp3s/u're My Best Friend - Queen.mp3,172.0,172,0.0
isophonics/Queen,Queen,cycle Race,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/05 Bicycle Race.lab,Data/mp3s/cycle Race - Queen.mp3,183.0,183,0.0
isophonics/Queen,Queen,od Old-Fashioned Lover Boy,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/12 Good Old-Fashioned Lover Boy.lab,Data/mp3s/od Old-Fashioned Lover Boy - Queen.mp3,174.0,175,-1.0
isophonics/Queen,Queen,n't Stop Me Now,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/07 Don't Stop Me Now.lab,Data/mp3s/n't Stop Me Now - Queen.mp3,212.0,211,1.0
isophonics/Queen,Queen,mebody To Love,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits I/10 Somebody To Love.lab,Data/mp3s/mebody To Love - Queen.mp3,298.0,297,1.0
isophonics/Queen,Queen,iends Will Be Friends,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits II/15 Friends Will Be Friends.lab,Data/mp3s/iends Will Be Friends - Queen.mp3,246.0,248,-2.0
isophonics/Queen,Queen,Want To Break Free,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits II/05 I Want To Break Free.lab,Data/mp3s/Want To Break Free - Queen.mp3,259.0,258,1.0
isophonics/Queen,Queen,Kind Of Magic,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits II/01 A Kind Of Magic.lab,Data/mp3s/Kind Of Magic - Queen.mp3,265.0,262,3.0
isophonics/Queen,Queen,mmer To Fall,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits II/14 Hammer To Fall.lab,,,220,
isophonics/Queen,Queen,Want It All,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits II/04 I Want It All.lab,Data/mp3s/Want It All - Queen.mp3,241.0,241,0.0
isophonics/Queen,Queen,o Wants To Live Forever,Data/Isophonics/Queen Annotations/chordlab/Queen/Greatest Hits II/09 Who Wants To Live Forever.lab,Data/mp3s/o Wants To Live Forever - Queen.mp3,296.0,297,-1.0
isophonics/Zweieck,Zweieck,"Es Wird Alles Wieder Gut, Herr Professor","Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/15_-_Es_Wird_Alles_Wieder_Gut,_Herr_Professor.lab","Data/mp3s/Es Wird Alles Wieder Gut, Herr Professor - Zweieck.mp3",149.0,151,-2.0
isophonics/Zweieck,Zweieck,Mr Morgan,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/09_-_Mr_Morgan.lab,,,183,
isophonics/Zweieck,Zweieck,Andersrum,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/05_-_Andersrum.lab,,,122,
isophonics/Zweieck,Zweieck,She,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/03_-_She.lab,Data/mp3s/She - Zweieck.mp3,163.0,158,5.0
isophonics/Zweieck,Zweieck,Zu Leise Für Mich,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/16_-_Zu_Leise_Für_Mich.lab,,,241,
isophonics/Zweieck,Zweieck,Paparazzi,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/13_-_Paparazzi.lab,,,234,
isophonics/Zweieck,Zweieck,Zuhause,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/18_-_Zuhause.lab,,,210,
isophonics/Zweieck,Zweieck,Erbauliche Gedanken Eines Tobackrauchers,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/04_-_Erbauliche_Gedanken_Eines_Tobackrauchers.lab,,,342,
isophonics/Zweieck,Zweieck,Duell,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/17_-_Duell.lab,,,237,
isophonics/Zweieck,Zweieck,Liebesleid,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/10_-_Liebesleid.lab,Data/mp3s/Liebesleid - Zweieck.mp3,261.0,266,-5.0
isophonics/Zweieck,Zweieck,Blass,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/08_-_Blass.lab,,,171,
isophonics/Zweieck,Zweieck,Santa Donna Lucia Mobile,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/14_-_Santa_Donna_Lucia_Mobile.lab,,,100,
isophonics/Zweieck,Zweieck,Tigerfest,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/06_-_Tigerfest.lab,,,203,
isophonics/Zweieck,Zweieck,Ich Kann Heute Nicht,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/11_-_Ich_Kann_Heute_Nicht.lab,,,138,
isophonics/Zweieck,Zweieck,Akne,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/07_-_Akne.lab,,,203,
isophonics/Zweieck,Zweieck,Spiel Mir Eine Alte Melodie,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/01_-_Spiel_Mir_Eine_Alte_Melodie.lab,,,164,
isophonics/Zweieck,Zweieck,Rawhide,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/02_-_Rawhide.lab,,,215,
isophonics/Zweieck,Zweieck,Jakob Und Marie,Data/Isophonics/Zweieck Annotations/chordlab/Zweieck/Zwielicht/12_-_Jakob_Und_Marie.lab,,,186,
mcgill,James Brown,I Don't Mind,Data/McGill-Billboard/0003/full.lab,,,150,
mcgill,"Roberta Flack,Donny Hathaway",You've Got A Friend,Data/McGill-Billboard/0004/full.lab,"Data/mp3s/You've Got A Friend - Roberta Flack,Donny Hathaway.mp3",204.0,206,-2.0
mcgill,Bette Midler,The Rose,Data/McGill-Billboard/0006/full.lab,Data/mp3s/The Rose - Bette Midler.mp3,212.0,220,-8.0
mcgill,Billy Joel,An Innocent Man,Data/McGill-Billboard/0010/full.lab,Data/mp3s/An Innocent Man - Billy Joel.mp3,320.0,318,2.0
mcgill,Johnny Lee,Lookin' For Love,Data/McGill-Billboard/0012/full.lab,Data/mp3s/Lookin' For Love - Johnny Lee.mp3,221.0,212,9.0
mcgill,Aerosmith,Last Child,Data/McGill-Billboard/0015/full.lab,Data/mp3s/Last Child - Aerosmith.mp3,208.0,206,2.0
mcgill,Cyndi Lauper,She Bop,Data/McGill-Billboard/0016/full.lab,Data/mp3s/She Bop - Cyndi Lauper.mp3,230.0,228,2.0
mcgill,Daryl Hall & John Oates,Kiss On My List,Data/McGill-Billboard/0018/full.lab,Data/mp3s/Kiss On My List - Daryl Hall & John Oates.mp3,233.0,231,2.0
mcgill,Tanya Tucker,Here's Some Love,Data/McGill-Billboard/0019/full.lab,Data/mp3s/Here's Some Love - Tanya Tucker.mp3,180.0,177,3.0
mcgill,The J. Geils Band,Just Can't Wait,Data/McGill-Billboard/0021/full.lab,Data/mp3s/Just Can't Wait - The J. Geils Band.mp3,209.0,207,2.0
mcgill,The 5th Dimension,Never My Love,Data/McGill-Billboard/0022/full.lab,,,237,
mcgill,Talking Heads,And She Was,Data/McGill-Billboard/0023/full.lab,Data/mp3s/And She Was - Talking Heads.mp3,225.0,219,6.0
mcgill,Graham Nash,Chicago,Data/McGill-Billboard/0025/full.lab,Data/mp3s/Chicago - Graham Nash.mp3,242.0,241,1.0
mcgill,The Chiffons,Sweet Talkin' Guy,Data/McGill-Billboard/0026/full.lab,Data/mp3s/Sweet Talkin' Guy - The Chiffons.mp3,147.0,148,-1.0
mcgill,Bad Company,Rock 'N' Roll Fantasy,Data/McGill-Billboard/0027/full.lab,Data/mp3s/Rock 'N' Roll Fantasy - Bad Company.mp3,197.0,199,-2.0
mcgill,Steve Miller Band,The Joker,Data/McGill-Billboard/0029/full.lab,Data/mp3s/The Joker - Steve Miller Band.mp3,218.0,219,-1.0
mcgill,R. Dean Taylor,Indiana Wants Me,Data/McGill-Billboard/0030/full.lab,,,190,
